台灣有線電視頻道,#genre#




中天新聞,https://d2jc41c1shgcol.cloudfront.net/live/CtiNEWS1/playlist.m3u8
寰宇新聞,https://4gtv.tvbjack.ggff.net/?id=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E5%8F%B0
寰宇新聞,http://hk.mushui.tk/mqlive/live.php?ip=211.75.236.187&url=http://211.75.236.187:5003/live1222.m3u8
中視新聞,http://74.91.26.218:82/live/ctvnews.m3u8
台視新聞,http://74.91.26.218:82/live/ttvnews.m3u8
華藝中文台,http://iptv.4666888.xyz/iptv2A.php?id=37
民視,rtmp://f13h.mine.nu/sat/tv051
人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
台視,rtmp://f13h.mine.nu/sat/tv071
大愛,https://4gtv.tvbjack.ggff.net/?id=%E5%A4%A7%E6%84%9B%E9%9B%BB%E8%A6%96
中視,rtmp://f13h.mine.nu/sat/tv091
金光布袋戲,https://4gtv.tvbjack.ggff.net/?id=%E9%87%91%E5%85%89%E5%B8%83%E8%A2%8B%E6%88%B2 
華視,http://74.91.26.218:82/live/cts.m3u8
公視,http://74.91.26.218:82/live/pts.m3u8
公視台語,http://74.91.26.218:82/live/ptsty.m3u8
壹電影,http://211.23.95.147:18881/live/102_h265.ts 
原住民族電視,http://220.135.241.47:8303/0.ts 
客家電視,http://220.135.241.47:8307/0.ts 
BBC Earth,https://hb.msbot.dpdns.org/?id=bbc-earth 
Discovery,http://211.23.95.147:18881/live/19_h265.ts
TLC 旅遊生活頻道,http://hk.mushui.tk/mqlive/live.php?ip=61.63.19.241&url=http://61.63.19.241:5003/live1005.m3u8
TLC 旅遊生活頻道,http://211.23.95.147:18881/live/21_h265.ts
動物星球,http://hk.mushui.tk/mqlive/live.php?ip=60.250.121.103&url=http://60.250.121.103:5003/live1004.m3u8
動物星球,http://211.23.95.147:18881/live/22_h265.ts
CN卡通頻道,http://125.227.210.55:3027/VideoInput/play.ts
尼克兒童頻道,https://4gtv.tvbjack.ggff.net/?id=%E5%B0%BC%E5%85%8B%E5%85%92%E7%AB%A5%E9%A0%BB%E9%81%93 
momo親子,https://hb.msbot.dpdns.org/?id=momo-kids
東森幼幼,http://hk.mushui.tk/mqlive/live.php?ip=61.63.19.241&url=http://61.63.19.241:5003/live1008.m3u8
緯來綜合,http://211.23.95.147:18881/live/26_h265.ts 
八大第一,http://211.23.95.147:18881/live/27_h265.ts
八大綜合,http://211.23.95.147:18881/live/28_h265.ts 
三立台灣,http://211.23.95.147:18881/live/29_h265.ts 
三立都會,http://211.23.95.147:18881/live/30_h265.ts 
韓國娛樂台KMTV,http://211.23.95.147:18881/live/31_h265.ts  
東森綜合,http://hk.mushui.tk/mqlive/live.php?ip=61.220.72.26&url=http://61.220.72.26:5003/live1041.m3u8
東森超視,rtmp://f13h.mine.nu/sat/tv331
MagellanTV頻道 (麥哲倫頻道),https://ha.msbot.dpdns.org/4gtv_api.php?id=450
华纳电视,http://31.43.191.125:8080/restream/restream/34785
美亚电影,http://74.91.26.218:82/live/mydy.m3u8
中天綜合,http://211.23.95.147:18881/live/36_h265.ts 
